asin,name,brand,mrp,price,category,hook,feature_1,feature_2,feature_3,verdict,status
B0DBCXZ24G,Vaku Luxos® Vanguard Military Grade Back Cover Case for Vivo Y35 4G with Metal Kickstand Shockproof ,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0DB64HYP3,Vaku Luxos® Astor Military Grade Back Cover Case for Samsung Galaxy S24 5G with Rotable Ring Kicksta,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0DBD8VP1J,Vaku Luxos® Vanguard Military Grade Back Cover Case for Oppo A38 with Metal Kickstand Shockproof Pro,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0D7SQQN15,Vaku Luxos® Vanguard Military Grade Armor Back Cover Case for Vivo V25e with Metal Kickstand Shockpr,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0DB62TJBW,Vaku Luxos® Astor Military Grade Back Cover Case for Samsung Galaxy S23 FE with Rotable Ring Kicksta,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0DBCZ4GPB,Vaku Luxos® Vanguard Military Grade Back Cover Case for Samsung Galaxy S23 FE with Metal Kickstand S,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0DB63BMM2,Vaku Luxos® Astor Military Grade Back Cover Case for Samsung Galaxy S23 with Rotable Ring Kickstand ,Vaku,1999,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H958DBDD,Samsung 25W Original Type C to C 3.3 FT Fast Charging USB C Cable High-Speed & Data Transfer Compati,Samsung,1899,129,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0D262PLL6,"Mi 22.5W Fast USB Type C Charger Combo|Compatible for Mobile,Power Banks|Fast Charging|(Adapter + US",Mi,5999,616,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GYHYSZBQ,"Wireless Neckband Earphones | Bluetooth 5.4, ENC, Magnetic Earbuds, 250 Hours Standby",Wireless,2499,299,earphone,Sound quality that makes your music actually enjoyable,Powerful bass and crystal clear treble for all music genres,Comfortable fit stays in ear even during workouts,Built in mic for clear hands free calls,Best earphone you can buy at this price in India,ready
